"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
04f0b8fb-0107-4bd2-abb4-946aa2591ea3,850e0134-1a63-400a-9471-6aba667cbce5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+805@gmail.com,"#N/A","#N/A",Alena,"#N/A","#N/A",Glenden,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 4041,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
0555d00a-6803-453f-a264-3b2238409177,8fbbcd59-0aa4-49bf-9dc0-be34277e764d,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+157@gmail.com,"#N/A","#N/A",Roseanna,"#N/A","#N/A",Batholomew,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(402)952-5051,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
05ec486a-b036-4e2b-be2e-15c3bef24ef6,9b4abb33-7b44-4c80-b5da-79e77cf4c29f,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+726@gmail.com,"#N/A","#N/A",Gwendolen,"#N/A","#N/A",Gray,"#N/A",Houston,USA,"#N/A","#N/A","#N/A",77504,TX,Reliant Parkway,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(902) 675-6698,"#N/A","#N/A",Executive Vice President - Wireless Operations,Prodly,"#N/A","#N/A",false,false
0644d8b6-14e3-46b7-9ffb-0d65159b731a,35cc051d-a92a-49ed-a2a5-06e6a00d9319,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+132@gmail.com,"#N/A","#N/A",Maris,"#N/A","#N/A",Thornton,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94107,CA,24 Willie Mays Plaza,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(809) 251-1133,"#N/A","#N/A","President, Global Fabric Care",Prodly,"#N/A","#N/A",false,false
06b96f27-9258-497f-91e0-ef0df6438e16,9b4abb33-7b44-4c80-b5da-79e77cf4c29f,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+730@gmail.com,"#N/A","#N/A",Ada,"#N/A","#N/A",Rice,"#N/A",Indianapolis,USA,"#N/A","#N/A","#N/A",46225,IN,500 South Capitol Avenue,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(134) 398-7929,"#N/A","#N/A",Executive Vice President,Prodly,"#N/A","#N/A",false,false
06d47e4c-a981-461a-825d-f944875a2c49,3e676566-6478-4799-8540-bffc9c15bdef,"#N/A","#N/A",1972-06-11,"#N/A","#N/A",jmanningcongagdo+562@gmail.com,"#N/A","#N/A",Dynah,"#N/A","#N/A",Morley,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+41 22 343 80 14,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
06d7028e-5d42-4620-b393-1d6cfe3c4f3b,bcad34b8-16f5-4049-918e-3e734890a61c,"#N/A","#N/A","#N/A","#N/A","John H. Hammergren is chairman, president and chief executive officer of McKesson Corporation. He was elected president and CEO in 2001 and chairman in 2002.",jmanningcongagdo+773@gmail.com,"#N/A","#N/A",Lilla,"#N/A","#N/A",Gael,"#N/A",Miami Gardens,USA,"#N/A","#N/A","#N/A",33056,FL,347 Don Shula Drive,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(235) 392-0037,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
071b211a-9d08-4491-804a-8c4fb01e851d,b9386bac-7c82-4c57-9e1f-0712576ef430,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+862@gmail.com,"#N/A","#N/A",Heda,"#N/A","#N/A",Tadeo,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4071,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
071b5bef-7064-4f52-8c67-5d43ac413445,2b4864d4-5cbe-4a2a-a3ab-c3e6339c4104,"#N/A",(02) 6454 7803,"#N/A",HR,"#N/A",jmanningcongagdo+103@gmail.com,"#N/A",(02) 6454 7803,Bella,"#N/A","#N/A",Ramon,"#N/A",Bondi,Australia,"#N/A","#N/A","#N/A",2026,NSW,178 Campbell Parade,0412 183 248,Bondi,Australia,"#N/A","#N/A","#N/A","#N/A",2026,NSW,178 Campbell Parade,(02) 6454 7803,"#N/A","#N/A",Director of Human Resources,Prodly,"#N/A","#N/A",false,false
07936dc4-72b2-4e08-b9a5-467f204b6cb5,b141d67c-e329-44ae-9db0-1aa92e16ff98,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+371@gmail.com,"#N/A","#N/A",Debbie,"#N/A","#N/A",Ansel,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(036) 886-8178,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
084435de-f307-4830-bb1e-8fb6fd405f23,068f7e69-1422-4e2e-bfb6-d80d9c12ba4a,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+771@gmail.com,"#N/A","#N/A",Susana,"#N/A","#N/A",Berti,"#N/A",New York,USA,"#N/A","#N/A","#N/A","#N/A",NY,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(251) 141-3114,"#N/A","#N/A",Chief Legal Officer,Prodly,"#N/A","#N/A",false,false
089bea1c-5873-48f8-b846-f3680c1a2909,6429b20d-af82-4cba-bc2e-68bb3a6e9932,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+199@gmail.com,"#N/A","#N/A",Barbra,"#N/A","#N/A",Ogdon,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0106,"#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
08b39221-ff84-4654-8320-c6a7725875db,9fa9c141-6b6b-417b-8567-d8c2d74c5243,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+491@gmail.com,"#N/A","#N/A",Clarinda,"#N/A","#N/A",Brigg,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+33 0 1 42 14 20 00,"#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
08ef4d9b-208d-4039-9891-67c529fa8a04,5a0d06f5-c387-4433-9ceb-e0c1d5517ecd,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+802@gmail.com,"#N/A","#N/A",Lorilyn,"#N/A","#N/A",Cart,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 4038,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
09a6638a-5579-4611-9d9b-b857e85630e2,c313ffc8-35f9-46c6-b8ae-39be3f3dff11,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+383@gmail.com,"#N/A","#N/A",Janey,"#N/A","#N/A",Bartlett,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(703) 436-5541,"#N/A","#N/A","Senior Vice President, Customer Service Delivery",Prodly,"#N/A","#N/A",false,false
09a90ef8-7fa8-4539-92cb-c5dfa51f2446,7eee1436-3087-475c-b191-344f20c4ad0c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+423@gmail.com,"#N/A","#N/A",Adelind,"#N/A","#N/A",Cletis,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
0a1c4d66-4a5f-40ee-ae4f-f0cc53656ed8,7eee1436-3087-475c-b191-344f20c4ad0c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+474@gmail.com,"#N/A","#N/A",Emmey,"#N/A","#N/A",Karoly,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
0a4c8e33-ab50-448b-bfdf-684ef0c6f11a,850e0134-1a63-400a-9471-6aba667cbce5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+803@gmail.com,"#N/A","#N/A",Neila,"#N/A","#N/A",Maxim,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4039,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0a687bbb-7ac9-4880-b817-fb1caccff8f9,3a553538-612d-4da5-9178-657756693ea0,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+797@gmail.com,"#N/A","#N/A",Riki,"#N/A","#N/A",Odell,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4033,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0abea5a3-8300-44fc-801f-36502f918851,06933aae-e08b-464d-aa98-9da903b5b6cc,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+366@gmail.com,"#N/A","#N/A",Bettye,"#N/A","#N/A",Chane,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(440)475-1488,"#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
0b74c43d-4c5a-45d6-b579-935f207256b6,2bd5de2e-f55b-4e91-81f5-90cf23d73733,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+617@gmail.com,"#N/A","#N/A",Wrennie,"#N/A","#N/A",Bradford,"#N/A","#N/A",USA,"#N/A","#N/A","#N/A",95113,CA,5565 Maple Wood Street,"#N/A",San Jose,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prodly,"#N/A","#N/A",false,false
0c00f7a1-0787-401c-aece-674d3ffb3a57,a3651e89-2801-4280-b140-9ca17f921d4e,"#N/A",(02) 7635 8392,"#N/A",Operations,"#N/A",jmanningcongagdo+689@gmail.com,"#N/A",(02) 7635 8392,Mable,"#N/A","#N/A",Jammal,"#N/A",Sydney,Australia,"#N/A","#N/A","#N/A",2000,NSW,200 George Street,0421 325 348,Sydney,Australia,"#N/A","#N/A","#N/A","#N/A",2000,NSW,200 George Street,(02) 7635 8392,"#N/A","#N/A",VP of Sales,Prodly,"#N/A","#N/A",false,false
0c6dfdfc-066d-42ef-b4e8-a61c4d61431c,5a0d06f5-c387-4433-9ceb-e0c1d5517ecd,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+801@gmail.com,"#N/A","#N/A",Desiree,"#N/A","#N/A",Ware,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 4037,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0cf82c10-b81c-488b-b631-ee310727d4a8,96fbf306-4ce1-48d3-99c0-a2304ca5e6b0,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+159@gmail.com,"#N/A","#N/A",Winifred,"#N/A","#N/A",Bartie,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(425)742-4489,"#N/A","#N/A",SVP - Global Sales,Prodly,"#N/A","#N/A",false,false
0d7a4e0e-01b2-4164-804b-60a2de6e6f92,e5b18370-6a6c-42cb-896c-0a20f24d78da,"#N/A","#N/A","#N/A","#N/A","Rohan Weerasinghe joined Citi as General Counsel and Corporate Secretary in June 2012. A member of Citi's Operating Committee, Rohan oversees Citi's global legal team, including business-unit general counsels, regional general counsels and corporate deputy general counsels.",jmanningcongagdo+30@gmail.com,"#N/A","#N/A",Siana,"#N/A","#N/A",Lock,"#N/A",Boston,USA,"#N/A","#N/A","#N/A",2215,MA,4 Yawkey Way,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(778) 479-5445,"#N/A","#N/A",General Counsel & Coperate Secretary,Prodly,"#N/A","#N/A",false,false
0da31e97-57c7-4fc4-8745-0783d8058190,26730f38-8343-45d4-aacd-68a349b3a0d2,"#N/A","#N/A",1975-08-10,"#N/A","#N/A",jmanningcongagdo+476@gmail.com,"#N/A","#N/A",Edie,"#N/A","#N/A",Giffer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+33 0 1 42 14 20 00,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
0de42753-a02b-42db-a15b-21a61c6db758,6429b20d-af82-4cba-bc2e-68bb3a6e9932,"#N/A","#N/A","#N/A","#N/A","Background: Chairman and Chief Executive Officer (2015 to present); President and Chief Executive Officer (2012-2015); President and Chief Executive Officer of Carlson, Inc., a worldwide hospitality and travel company (2008-2012); President and Chief Executive Officer of Carlson Wagonlit Travel, a business travel management company (2004-2008); senior executive positions with Vivendi Universal, a global media and telecommunications company (1999-2004).",jmanningcongagdo+817@gmail.com,"#N/A","#N/A",Melisenda,"#N/A","#N/A",Archibald,"#N/A",East Rutherford,USA,"#N/A","#N/A","#N/A",7073,NJ,1 Met Life Stadium Drive,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(893) 971-3458,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
